Country,ISO3,Year,Government_Effectiveness,Regulatory_Quality,GDP,Labour_Force_Participation_Rate,Tax_Revenue_GDP,Agriculture_GDP,Trade_Openness_GDP,Human_Digitalization_InternetUsers,Remittances_GDP,Inflation,Unemployment_Rate,Rule_of_Law,Corruption_Perception_Index
Albania,ALB,1995,,,4969648100.727588,1363787.0,11.202219854493558,32.83744976268849,40.13869895183142,0.0112,14.708652343329698,,14.607,,
Albania,ALB,1996,-0.6885879039764404,-0.6844817996025085,5334237832.941029,1345509.0,8.766250583919955,33.56166119212975,44.41178200546629,0.0322,17.032071261959853,,13.928,-0.6844817996025085,
Albania,ALB,1997,,,4709514660.141163,1360459.0,9.753038317877119,28.941314508843668,44.72937806491813,0.0486,13.092577388038155,,16.872,,
Albania,ALB,1998,-0.7326025366783142,-0.9296717047691345,5100876515.377005,1344507.0,14.264201067268523,26.261042830532837,47.13062669932216,0.065,19.387337975282183,,20.042,-0.9296717047691345,
Albania,ALB,1999,,,5725771032.932669,1324627.0,,23.622567295594806,49.89541840951953,0.0814,12.399733634051424,,20.835,,
Albania,ALB,2000,-0.9177801609039307,-1.0206676721572876,6153077235.622891,1313953.0,,22.17901394736872,61.60926104364073,0.114097,16.67703441438117,,19.023,-1.0206676721572876,
Albania,ALB,2001,,,6698469429.12028,1300522.0,,20.45240541413187,64.24744625870092,0.325798,17.228109591070126,,18.57,,
Albania,ALB,2002,-0.624333381652832,-0.762321412563324,7008501111.795186,1304298.0,15.874764303777402,19.763916469680932,65.99146503368017,0.390081,16.247386348192688,,17.891,-0.762321412563324,
Albania,ALB,2003,-0.5639867186546326,-0.7163234949111938,7382282996.759232,1290479.0,16.632342642138283,19.807620331469234,64.8232150960777,0.9719,15.3187296457995,,16.985,-0.7163234949111938,
Albania,ALB,2004,-0.4083716571331024,-0.7010323405265808,7771053341.653316,1275726.0,17.42670416659462,18.563079991399498,65.03793831876975,2.42039,15.670684644424027,,16.306,-0.7010323405265808,
Albania,ALB,2005,-0.6963872313499451,-0.7638331651687622,8169772250.742526,1259700.0,,17.124717895572875,69.11629266023219,6.04389,15.620173160919803,,15.966,-0.7638331651687622,
Albania,ALB,2006,-0.5809526443481445,-0.7031358480453491,8661509309.897013,1241897.0,,16.041575033486794,72.20190894836738,9.60999,14.856708869986276,,15.626,-0.7031358480453491,
Albania,ALB,2007,-0.4277225434780121,-0.661545991897583,9224515436.601124,1222005.0,,15.532549448123401,79.91190089199543,15.0361,13.20525505481578,,15.966,-0.661545991897583,
Albania,ALB,2008,-0.3670634925365448,-0.6000792980194092,9861658465.33864,1201455.0,,15.422100399492,75.24854727987281,23.86,14.070827519136934,,13.06,-0.6000792980194092,
Albania,ALB,2009,-0.2559414803981781,-0.49437016248703003,10127011190.749084,1247208.0,,15.279221727152773,73.32135756461692,41.2,13.92478903075591,,13.674,-0.49437016248703003,
Albania,ALB,2010,-0.27945321798324585,-0.38576048612594604,10428102872.270636,1259163.0,,16.358608191425244,75.53253296873783,45.0,13.126780127608798,,14.086,-0.38576048612594604,
Albania,ALB,2011,-0.20217707753181458,-0.44292646646499634,10685000942.533651,1376922.0,17.906723067140895,16.720222949178634,80.69899852989536,47.0,11.963216583923995,,13.481,-0.44292646646499634,
Albania,ALB,2012,-0.2689250111579895,-0.5198397636413574,10790155229.509216,1317638.0,17.587926595355075,17.591368551637093,76.9683583166821,49.4,11.593292325551529,,13.376,-0.5198397636413574,
Albania,ALB,2013,-0.3244573771953583,-0.5188288688659668,10974367815.093985,1217163.0,16.476496274466758,18.924817420614023,75.75061856197482,51.8,10.016797120489224,,15.866,-0.5188288688659668,
Albania,ALB,2014,-0.04977080971002579,-0.3111990988254547,11220218560.89977,1244156.0,18.208095466238067,19.23775891642821,75.02120230841288,54.3,10.687221560271201,,18.055,-0.3111990988254547,
Albania,ALB,2015,0.027575254440307617,-0.31968680024147034,11470171826.957481,1295052.0,18.38129214929685,18.74716027734116,71.27944766060136,56.9,11.254090414410364,,17.193,-0.31968680024147034,
Albania,ALB,2016,0.029082361608743668,-0.32263198494911194,11918533446.97494,1341701.0,17.403202523244584,19.167190753496964,74.01445045468154,59.6,10.893696292584456,,15.418,-0.32263198494911194,
Albania,ALB,2017,0.09855284541845322,-0.4141915738582611,12309839868.708418,1363232.0,18.547663183355592,18.079078214295993,76.78738178989887,62.4,9.894372244079245,,13.616,-0.4141915738582611,
Albania,ALB,2018,0.08052453398704529,-0.4147520363330841,12761785703.10706,1393620.0,18.276952732711592,17.91555581795494,75.6940783717425,65.4,9.481512832446754,,12.304,-0.4147520363330841,
Albania,ALB,2019,-0.062300700694322586,-0.42631736397743225,13025007474.889467,1415825.0,17.93099398928514,18.160397370671323,75.38212893268896,68.5504,9.450123156537446,,11.466,-0.42631736397743225,
Albania,ALB,2020,-0.15512122213840485,-0.3780282139778137,12593390460.142029,1352399.0,16.8955446005948,18.806141798798823,59.52071188977184,72.2377,9.618420019457478,,11.69,-0.3780282139778137,
Albania,ALB,2021,-0.03598502278327942,-0.28071627020835876,13722964212.46197,1367734.0,18.096208195974455,17.79320559730562,75.5903217283122,79.3237,9.529475597061685,,11.474,-0.28071627020835876,
Albania,ALB,2022,0.06454053521156311,-0.16558510065078735,14385329993.534147,1389262.0,18.060778680229916,16.984478035139276,84.69805710244384,82.6137,9.177171650397357,,10.137,-0.16558510065078735,
Albania,ALB,2023,0.25085535645484924,-0.1640973687171936,14951625324.01891,1376643.0,17.75986874020337,16.222567133252685,82.49368255969938,83.1356,8.647189377388393,,10.108,-0.1640973687171936,
Albania,ALB,2024,,,15543966722.070652,1369710.0,,15.498011092849165,79.07075976661906,82.1357,8.368764172030966,,10.25,,
Belarus,BLR,1995,,,19219047589.816948,4724865.0,19.887646928000134,15.766496709307019,103.71819477278157,0.0029200000000000003,0.2039694126174806,,17.7,,
Belarus,BLR,1996,-0.38056445121765137,-0.7989839911460876,19757181801.976,4719656.0,18.799774811169783,15.098598303785987,96.77489978575785,0.029300000000000003,0.6322489170606601,,24.4,-0.7989839911460876,
Belarus,BLR,1997,,,22009501596.410633,4703524.0,20.734590954938252,13.4179320121037,125.51617915655753,0.049,0.3290734127525011,,17.1,,
Belarus,BLR,1998,-0.5467666983604431,-0.8915765881538391,23858297857.601673,4718081.0,17.112328938804634,12.061763612618758,122.95769773598933,0.0739,0.3541078185772209,,14.0,-0.8915765881538391,
Belarus,BLR,1999,,,24669479794.062714,4752493.0,16.67247619349756,12.700557555953873,120.8351178296295,0.495,0.5107823231762448,,12.8,,
Belarus,BLR,2000,-0.7215701937675476,-1.100583553314209,26100310428.20507,4815953.0,16.624734502616654,12.096827169414702,141.6091659550242,1.8604,0.8966159101359785,,12.224,-1.100583553314209,
Belarus,BLR,2001,,,27333629973.461086,4871194.0,15.75466424428761,10.35042973936133,137.04493047306266,4.30062,0.5439172664384041,,11.609,,
Belarus,BLR,2002,-1.0438023805618286,-1.2503106594085693,28712684736.881863,4907075.0,14.201038323073803,10.12843222397784,131.00205828229073,8.95097,0.5522476672163071,,10.908,-1.2503106594085693,
Belarus,BLR,2003,-1.0523674488067627,-1.0729182958602905,30734974394.61022,4931321.0,17.688121909596113,8.635627707521989,134.14185227322452,,0.9205941424539449,,10.215,-1.0729182958602905,
Belarus,BLR,2004,-1.2095705270767212,-1.1885381937026978,34254050013.849213,4947805.0,18.371346900891748,8.850251441236363,142.1365103877036,,1.0345021463520017,,9.452,-1.1885381937026978,
Belarus,BLR,2005,-1.1356642246246338,-1.155784010887146,37473931237.76098,4959438.0,20.149656277903887,8.518590808565312,118.88435169232991,,0.657396214062099,,8.728,-1.155784010887146,
