Country,Year,Inflation_Rate,Unemployment_Rate,Remittances_GDP,Agriculture_GDP,Trade_Openness_GDP,Digital_growth_3yr,Human_Capital_Index,Tax_Revenue_GDP,Governance_Index,GDP_per_Worker_resid,Shadow_Economy
Albania,2000,-0.6256573884028112,1.059858585165109,2.179502895434182,3.7657507199198057,-1.301034536847464,-1.5724066452062508,-1.0502961453637258,-0.5791606327954526,0.07932270836602787,-0.025467549222056622,51.74998518720927
Albania,2001,-0.022603107518877584,0.9971896370889741,2.2768109772798057,3.3691197359301275,-1.2268713299723495,-1.5724066452062508,-1.007214481843458,-0.41142863608390084,0.07932270836602787,-0.025467549222056622,51.50503015898421
Albania,2002,0.8970828968105002,0.9032553859991379,2.1036362424655626,3.210962260018862,-1.1778444366122793,-1.5724066452062508,-0.9639176973247228,-0.9217680234584607,-1.741260857951366,-1.1704543127139613,51.260075130759155
Albania,2003,-0.5400612501939571,0.7779174898468681,1.9396553443494278,3.2210017712175856,-1.2106856341558243,-1.5724066452062508,-0.9204050550917701,-0.7374831529531647,-1.6745560147761398,-1.0871706206644929,48.68998167281523
Albania,2004,-0.18582719304378534,0.6839832387570325,2.0018030644080698,2.9351099490734445,-1.204649453415179,-1.4828834257903574,-0.8766765551446303,-0.5442505811434191,-1.593865134206556,-1.0242352951615612,49.18503117776571
Albania,2005,-0.16875413920370988,0.6369469421877476,1.9928838174906065,2.6046940137764807,-1.090001006820424,-0.8360970109254988,-0.8327307240517713,-0.9217680234584607,-1.7957397185055826,-0.538181410121626,46.55973284841012
Albania,2006,-0.16793633899233273,0.5899106456184632,1.858072363716303,2.355877903511336,-1.0032598645352446,-0.2937888546823376,-0.8127229977635354,-0.41142863608390084,-1.6481858227430148,-0.5466041589319609,43.15340681434685
Albania,2007,-0.05710033243933536,0.6369469421877476,1.566460965111098,2.23894617584281,-0.7865208257988351,0.4290304000848651,-0.7926695950989265,-0.5050323869287427,-1.479165618639689,-0.5683486278773779,40.85748844699991
Albania,2008,0.019463304560668283,0.23492494856909818,1.7193025369408164,2.2135741740276274,-0.9176144490567351,1.3740551265522905,-0.7725719894894165,-0.41142863608390084,-1.2884620012758567,-0.6090520566151743,37.498315320384926
Albania,2009,-0.1884103707708559,0.3198669664912766,1.6935152654738377,2.180752542887644,-0.9717905428064132,2.1489103459422036,-0.752427970787784,-0.5791606327954526,-1.1911407157902,-0.7866054574196002,31.754189994014162
Albania,2010,0.0798620235261746,0.37686389056935093,1.5526039725218705,2.4287057454743026,-0.9096312000897411,2.1489103459422036,-0.7322397491412516,-0.41142863608390084,-1.1052978494900556,-0.8574409561616358,27.24714774049304
Albania,2011,0.040606779871392454,0.293166951085771,1.3471435538150205,2.511774729805125,-0.7643943713644542,2.1489103459422036,-0.6233096953356452,-0.4274834873024567,-1.1224641710598657,-1.0221676970964209,29.786830280175586
Albania,2012,-0.23482513878442238,0.27864103596878603,1.2818228470710364,2.7118915083627013,-0.8692680702729837,-0.37339924665567015,-0.47672462621063166,-0.5050323869287427,-1.197217817134332,-0.7526316879751708,29.48562546089847
Albania,2013,-0.25335951189115313,0.6231127373144287,1.0034475347132055,3.018207113099547,-0.9035004982438708,-0.6278094106919739,-0.483570188942429,-0.7753935923503712,-1.2643735045105906,-0.3702485337254699,26.259819009285568
Albania,2014,-0.31484809145938675,0.9259434819913813,1.1218301420546948,3.0900950315400366,-0.924005445433392,-0.5369486378218654,-0.49041133137975246,-0.35417308396957203,-0.918210266963145,-0.8884696764836278,29.16304481573718
Albania,2015,-0.26153419135165257,0.8066926359833718,1.2219270493146681,2.9773962829706053,-1.0291915871938127,-0.5006043286738214,-0.4972465800910675,-0.3120420901260946,-0.8262078055062232,-1.0792390381570354,28.256700404861064
Albania,2016,-0.3839651775327252,0.5611354994819596,1.1582891607165573,3.073884339097035,-0.9523066979663682,-0.4460878649517555,-0.5040774085079087,-0.5499674781059097,-0.7620449606412928,-1.1667566467385013,26.444011583108786
Albania,2017,-0.2436870922728623,0.31184312766475164,0.9818299217312181,2.823926610517,-0.8743555825214586,-0.39157140122969086,-0.5109030799145238,-0.27157147089788,-0.8350173580678257,-1.0094196145331975,31.034175517535022
Albania,2018,-0.235521974110708,0.13033835972680666,0.9089277858388843,2.7863627691965167,-0.905089924869803,-0.31888278293360295,-0.4891950136795471,-0.3374231958155943,-0.8873720597861469,-0.889936166651546,29.847231897356995
Albania,2019,-0.3572087006735676,0.014407722888393436,0.9033850408891975,2.842606986751381,-0.913859275350215,-0.23703539873221133,-0.4673617057674084,-0.4215794592727306,-0.9812872480175361,-0.7356773316999653,31.3904417739002
Albania,2020,-0.315830002420064,0.04539634180462798,0.9331026649160687,2.9909453292324724,-1.3597466780887264,-0.07579387119691472,-0.445403156178076,-0.6734579078071048,-0.9566383174644029,-0.7371082867766814,29.625735891547258
Albania,2021,-0.23287668256435554,0.015514459278259079,0.9173969835493201,2.75825686825062,-0.9080066743714915,0.6667203646976112,-0.42331641804854514,-0.38139024431807533,-0.8412407117682466,-0.6916481251180845,29.321784523766112
Albania,2022,0.6909104938210356,-0.1694488598780157,0.8551876467351921,2.5724785620584965,-0.6519750436657936,0.6920886924829458,-0.4011022280945995,-0.390008658270056,-0.6740509485119883,-0.8499845708955419,29.01690647498561
Belarus,2000,2.9515575556890554,0.11927099582815145,-0.6069812728338232,1.4497030544939133,0.9478786418267849,-1.5343455137716209,-0.023617182616156234,-0.7393338724570555,-1.7295873347061004,-1.162912262907854,52.33720892132092
Belarus,2001,2.9515575556890554,0.03419063585723968,-0.6692603046965399,1.0485262284877512,0.8195713727453281,-1.0954298299143594,-0.023617182616156234,-0.9509829874958975,-1.7110357301861738,-1.0889570571785123,49.19980012555868
Belarus,2002,2.9515575556890554,-0.06278714030472647,-0.6677893342101292,0.9975296700468238,0.6496974844960247,-0.3632282917405892,-0.023617182616156234,-1.3289105722840622,-1.9789837427690142,-0.5647342755581909,46.06239132979644
